,index,sub_num,block_num,trial_num,task_num,old_num,word,grey,change_time,resp,resp_bin,RT,on_time,trial_time,word_time,cue_duration
90,90,8,2,43,1,1,tractor,None,None,1,1,0.704223369,329.2238162,329.2297713,332.2297713,3
91,91,8,2,44,3,0,garlic,1,1.165759596,1,1,1.79191043,336.8833547,336.8884806,339.8884806,3
92,92,8,2,45,3,1,sink,0,1.117217844,2,2,1.675132843,344.6669548,344.6722076,347.6722076,3
93,93,8,2,46,2,1,sweater,None,None,1,1,0.912792423,351.7522046,351.7558744,354.7558744,3
94,94,8,2,47,1,0,cylinder,None,None,2,2,1.474678397,359.044645,359.047901,362.047901,3
95,95,8,2,48,3,1,binder,1,0.529151401,2,2,1.483505957,366.9942505,366.9982994,369.9982994,3
0,0,9,1,1,2,1,pancakes,None,None,1,1,1.408828,6,6.001950184,9.001950184,3
1,1,9,1,2,1,0,submarine,None,None,1,1,1.320960152,13.25518539,13.26062809,16.26062809,3
2,2,9,1,3,1,0,charger,None,None,2,2,1.375057407,23.16397189,23.1694223,26.1694223,3
3,3,9,1,4,2,1,screwdriver,None,None,1,1,0.834669808,29.36917395,29.36964717,32.36964717,3
4,4,9,1,5,1,0,avocado,None,None,2,2,1.75783568,38.50017701,38.50343855,41.50343855,3
5,5,9,1,6,1,1,trolley,None,None,2,2,1.561146129,44.78289658,44.78707231,47.78707231,3
6,6,9,1,7,2,1,typewriter,None,None,1,1,1.438004474,51.65212482,51.65405891,54.65405891,3
7,7,9,1,8,3,0,lantern,0,0.835997035,1,1,1.52522209,60.36564069,60.37116165,63.37116165,3
8,8,9,1,9,3,1,tambourine,0,0.964558717,2,2,1.583559933,67.85244442,67.85484594,70.85484594,3
9,9,9,1,10,2,0,sink,None,None,2,2,1.833041668,74.23902653,74.24681041,77.24681041,3
10,10,9,1,11,1,0,dice,None,None,2,2,1.340099245,83.40598687,83.41390877,86.41390877,3
11,11,9,1,12,2,1,stamp,None,None,1,1,1.762806115,90.04863531,90.05588283,93.05588283,3
12,12,9,1,13,2,0,mouse,None,None,2,2,1.784723541,96.77232032,96.77286423,99.77286423,3
13,13,9,1,14,1,1,seesaw,None,None,1,1,1.313937134,104.6011293,104.6065431,107.6065431,3
14,14,9,1,15,1,1,tent,None,None,1,1,0.910296142,110.7364278,110.7401496,113.7401496,3
15,15,9,1,16,2,1,violin,None,None,1,1,1.4632281,118.3053954,118.3072267,121.3072267,3
16,16,9,1,17,3,0,piano,0,0.93860921,1,1,1.808571952,124.806419,124.807527,127.807527,3
17,17,9,1,18,1,1,towel,None,None,,,,131.9321303,131.9328592,134.9328592,3
18,18,9,1,19,3,0,tractor,1,0.629818363,1,1,1.350231344,139.5775082,139.583198,142.583198,3
19,19,9,1,20,1,0,cannon,None,None,1,1,1.045085654,146.1628961,146.1668406,149.1668406,3
20,20,9,1,21,1,1,wineglass,None,None,2,2,1.49401889,155.2770079,155.2839325,158.2839325,3
21,21,9,1,22,2,0,barbell,None,None,2,2,1.153467042,163.1819789,163.1842837,166.1842837,3
22,22,9,1,23,2,1,yarn,None,None,1,1,1.574498925,169.5240788,169.5262658,172.5262658,3
23,23,9,1,24,3,0,comb,0,1.214265993,1,1,1.958516222,176.9305271,176.9349433,179.9349433,3
24,24,9,1,25,3,1,yoyo,0,0.558831368,2,2,1.558544689,183.1507214,183.1518781,186.1518781,3
25,25,9,1,26,1,1,lotion,None,None,2,2,0.923211696,189.4462569,189.4521946,192.4521946,3
26,26,9,1,27,1,1,swimsuit,None,None,2,2,0.95749249,196.8342342,196.8358738,199.8358738,3
27,27,9,1,28,2,0,freezer,None,None,1,1,1.951357782,203.1454844,203.1527974,206.1527974,3
28,28,9,1,29,3,1,spade,0,0.485838783,2,2,1.300173719,212.7600301,212.7616178,215.7616178,3
29,29,9,1,30,2,0,kiwi,None,None,,,,219.9137957,219.9202851,222.9202851,3
30,30,9,1,31,3,1,sticker,0,0.398085232,1,1,1.250232061,228.650889,228.6540371,231.6540371,3
31,31,9,1,32,1,0,sweater,None,None,1,1,1.746777128,236.0880541,236.0960237,239.0960237,3
32,32,9,1,33,3,0,map,1,0.719545224,1,1,1.408520036,246.0583164,246.063156,249.063156,3
33,33,9,1,34,3,0,hook,1,0.890729292,1,1,1.616914019,255.1405693,255.1469317,258.1469317,3
34,34,9,1,35,2,1,spinach,None,None,1,1,1.589798321,261.9347204,261.9389163,264.9389163,3
35,35,9,1,36,3,0,oven,0,1.174325907,,,,270.1017765,270.1059737,273.1059737,3
36,36,9,1,37,1,0,lipstick,None,None,,,,276.5331356,276.5395986,279.5395986,3
37,37,9,1,38,1,1,windmill,None,None,1,1,0.767204653,283.4634848,283.464922,286.464922,3
38,38,9,1,39,2,1,pyramid,None,None,1,1,1.93390622,290.5599435,290.5652533,293.5652533,3
